species,premaxilla_maxilla,nasal_frontal,prefrontal_frontal,frontal_parietal,parietal_otic-occipital,vomer_parasphenoid,parasphenoid_otic-occipital,orbitosphenoid_connections,skull_roof_left_right,squamosal_otic-occipital,CAI,corrected_thickness ,CS(mm),aquatic_period
Calotriton_asper,1,0.5,1,0.5,1,0.5,1,1,0.5,1,8,1.451345103,28.548,0.75
Chioglossa_lusitanica,0.571,0.071,0.143,0,0,0,0.571,1,0.571,0.928,3.855,1.116199478,18.408,0
Cynops_cyanurus,0.5,1,1,0.75,1,1,1,1,1,1,9.25,1.076996122,25.274,0.75
Cynops_ensicauda,1,0.625,1,0.625,0.75,0,0.5,1,0.875,1,7.375,2.244994111,28.017,1
Cynops_orientalis,0.833,0.667,1,0.833,0.333,0,0.167,0.417,0.417,1,5.667,1.21714508,23.132,0.75
Cynops_pyrrhogaster,0.833,0.333,0.833,0.5,0.167,0.167,0.167,0.417,0.583,0.833,4.833,1.750044539,28.065,1
Euproctus_montanus,1,0.071,1,0.286,0.286,0.429,0.571,0.929,0.5,1,6.072,1.341916623,24.971,0.75
Euproctus_platycephalus,1,0.5,1,0.1,0.2,0.4,0.6,0.6,0.6,1,6,1.01457536,24.562,0.75
Ichthyosaura_alpestris,1,1,1,0.571,0.286,0,1,0.929,0.929,0.929,7.644,1.58678437,23.109,0.5
Lissotriton_boscai,1,0.667,1,0,0.167,0,0.833,0.5,0.083,0.167,4.417,1.557538359,17.988,0.75
Lissotriton_helveticus,1,0.333,0.667,0,0,0,0.5,0,0.167,0,2.667,1.060682186,17.913,0.5
Lissotriton_italicus,1,0.2,0.2,0.2,0.2,0,0.8,0.5,0.2,0,3.3,1.036305231,16.499,0.75
Lissotriton_montandoni,1,0.857,1,0.357,0,0.143,0.286,0.5,0.643,0.714,5.5,1.624964214,20.958,0.5
Lissotriton_vulgaris,1,1,1,0.571,0.357,0,0.571,1,0.429,1,6.928,1.327874689,19.663,0.5
Lyciasalamandra_atifi,1,0.5,0.667,0.5,0.667,1,1,0.5,1,1,7.834,0.551252097,33.384,0
Lyciasalamandra_fazilae,0.833,0,0,0,0.25,1,0,0.5,1,0.833,4.416,0.715360456,27.382,0
Lyciasalamandra_luschani,0,0,0,0,0,0,0,0.5,1,1,2.5,0.628476085,26.97,0
Mertensiella_caucasica,1,0.3,0.6,0.1,0.6,0.2,1,0.5,0.9,1,6.2,0.781264492,25.876,0
Neurergus_crocatus,1,0.625,1,0.5,1,0.5,1,1,0.625,1,8.25,1.724710094,26.819,0.5
Neurergus_derjugini,1,1,1,0.5,0,1,1,0.5,0.8,1,7.8,1.544296993,29.765,0.5
Neurergus_strauchii,1,0.8,1,0.5,0.8,1,1,1,0.8,1,8.9,1.946240142,36.012,0.5
Notophthalmus_meridionalis,1,1,1,0.75,1,0.125,1,1,0.75,0.625,8.25,1.707359938,23.329,1
Notophthalmus_viridescens,1,0.857,1,1,0.571,0,0.571,0.5,0.714,0.429,6.642,2.165379927,22.149,0.75
Ommatotriton_ophryticus,1,0.25,0.875,0.188,0.375,0,0.75,1,0.25,1,5.688,1.237616655,27.86,0.5
Ommatotriton_vittatus,1,0.833,1,0.167,1,0,0.833,1,0.417,1,7.25,1.404224654,22.203,0.5
Paramesotriton_chinensis,0.8,1,1,0.3,0,0.3,0,0.5,0.5,0.9,5.3,2.765629586,40.884,0.75
Paramesotriton_deloustali,1,1,1,1,0.5,1,1,1,1,0.75,9.25,2.373399558,45.3,0.75
Paramesotriton_hongkongensis,1,0.667,1,0.833,0,0.917,0.833,0.5,0.417,0.917,7.084,2.061922691,36.917,0.5
Paramesotriton_labiatus ,1,1,1,0.5,1,0.75,1,1,0.5,1,8.75,1.326751428,34.843,1
Pleurodeles_poireti,1,1,1,0.5,0,1,1,1,1,1,8.5,0.732668067,30.464,0.75
Pleurodeles_waltl,1,1,1,0.4,0,1,0.6,0.3,0.9,0.7,6.9,0.675082356,37.945,0.75
Salamandra_algira,0.833,0.25,0.333,0.167,0.333,0.5,0.5,0.5,0.917,0.583,4.916,0.856308219,42.619,0
Salamandra_atra,1,0.2,0.6,0,0.3,0.8,0,0.1,0.4,1,4.4,0.787486893,28.61,0
Salamandra_corsica,1,0.25,0.5,0.375,0.75,1,0.5,1,0.375,1,6.75,1.271519591,38.767,0
Salamandra_infraimmaculata,1,0.5,1,0.5,0.6,1,0,1,0.4,1,7,0.941575999,46.231,0
Salamandra_lanzai,1,0.25,1,0.25,0,1,0,0.5,0.75,1,5.75,0.680339266,35.96,0
Salamandra_salamandra,1,0.1,0.2,0.3,0,0.2,0,0.1,1,1,3.9,0.956905716,36.687,0
Salamandrina_perspicillata,0.6,0,0,0.2,0,0,0,0,0,0,0.8,1.208545954,17.833,0
Salamandrina_terdigitata,1,0.5,1,1,0,0,0,0.75,0.5,0,4.75,1.316374269,17.1,0
Taricha_granulosa,1,0.3,0.8,0.4,0,0.2,0,0.4,0.2,0.6,3.9,0.994592371,34.026,0.5
Taricha_rivularis,1,0.5,1,1,0.6,0.7,0.4,0.5,0.8,0.7,7.2,1.795550499,33.397,0.5
Taricha_sierrae,1,1,1,0.7,0.8,0.5,0.6,0.8,0.6,0.9,7.9,0.880633582,35.102,0.5
Taricha_torosa,1,0.417,1,0.5,0.167,0.75,0,0.5,0.5,0.667,5.501,1.018041167,36.583,0.5
Triturus_anatolicus,1,0.375,1,0,0.5,0.375,1,1,0.75,1,7,0.97240758,29.972,0.5
Triturus_carnifex,1,0.4,1,0.3,1,0,1,1,0.5,1,7.2,1.683924184,34.188,0.5
Triturus_cristatus,1,0.583,1,0.5,0.167,0.583,1,1,0.833,1,7.666,1.403068783,28.35,0.5
Triturus_dobrogicus,1,0.5,0.8,0.1,0.4,0,0.4,1,0.8,0.8,5.8,1.186282011,22.219,0.75
Triturus_ivanbureschi,1,0.75,1,0.25,1,0,1,1,0.75,1,7.75,1.650309951,30.65,0.5
Triturus_karelinii,1,0.5,1,0.167,0.5,0.083,0.333,1,0.583,1,6.166,1.699337425,32.751,0.5
Triturus_macedonicus,1,0.5,1,0.1,1,0.5,1,1,0.5,1,7.6,1.665590902,32.535,0.5
Triturus_marmoratus,1,0.667,1,0.167,0.333,0.75,0.333,0.583,0.583,1,6.416,2.188338677,33.684,0.5
Triturus_pygmaeus,1,1,1,0.3,0.6,0.5,0.6,0.8,0.5,1,7.3,2.341927131,27.035,0.25
Tylototriton_verrucosus,1,0.9,1,0.9,0.8,0.9,0,0.5,0.7,0.6,7.3,0.781737751,35.943,0.75
Tylototriton_vietnamensis,1,1,1,0.9,0,0,0,0.2,0.9,0.5,5.5,1.011844808,35.543,0.25
